;Select one;;
Argentina;Ingeniero Jacobacci;Cabo F.A.A. H. R. Bordón Airport;IGB
Argentina;Jose de San Martin;Jose De San Martin Airport;JSM
Argentina;Jujuy;Gobernador Horacio Guzman International Airport;JUJ
Argentina;Junin;Junin Airport;JNI
Argentina;La Plata;La Plata Airport;LPG
Argentina;La Rioja;Capitan V A Almonacid Airport;IRJ
Argentina;Las Heras;Las Heras Airport;LHS
Argentina;Malargue;Comodoro D.R. Salomón Airport;LGS
Argentina;Mar Del Plata;Ástor Piazzola International Airport;MDQ
Argentina;Mendoza;El Plumerillo Airport;MDZ
Argentina;Monte Caseros;Monte Caseros Airport;MCS
Argentina;Necochea;Necochea Airport;NEC
Argentina;Neuquen;Presidente Peron Airport;NQN
Argentina;Olavarria;Olavarria Airport;OVR
Argentina;Oran;Orán Airport;ORA
Argentina;Parana;General Urquiza Airport;PRA
Argentina;Paso De Los Libres;Paso De Los Libres Airport;AOL
Argentina;Pehuajo;Comodoro Pedro Zanni Airport;PEH
Argentina;Perito Moreno;Perito Moreno Airport;PMQ
Argentina;Posadas;Libertador Gral D Jose De San Martin Airport;PSS
Argentina;Presidencia R.s.pena;Termal Airport;PRQ
Argentina;Puerto Deseado;Puerto Deseado Airport;PUD
Argentina;Puerto Madryn;El Tehuelche Airport;PMY
Argentina;Reconquista;Reconquista Airport;RCQ
Argentina;Resistencia;Resistencia International Airport;RES
Argentina;Rincon de los Sauces;Rincon De Los Sauces Airport;RDS
Argentina;Rio Cuarto;Area De Material Airport;RCU
Argentina;Rio Gallegos;Piloto Civil N. Fernández Airport;RGL
Argentina;Rio Grande;Hermes Quijada International Airport;RGA
Argentina;Rio Hondo;Termas de Río Hondo international Airport;RHD
Argentina;Rosario;Islas Malvinas Airport;ROS
Argentina;Salta;Martin Miguel De Guemes International Airport;SLA
Argentina;San Antonio Oeste;Antoine de Saint Exupéry Airport;OES
Argentina;San Carlos De Bariloche;San Carlos De Bariloche Airport;BRC
Argentina;San Fernando;San Fernando Airport;FDO
Argentina;San Juan;Domingo Faustino Sarmiento Airport;UAQ
Argentina;San Julian;Capitan D Daniel Vazquez Airport;ULA
Argentina;San Luis;Brigadier Mayor D Cesar Raul Ojeda Airport;LUQ
Argentina;San Martin Des Andes;Aviador C. Campos Airport;CPC
Argentina;San Rafael;Suboficial Ay Santiago Germano Airport;AFA
Argentina;Santa Cruz;Santa Cruz Airport;RZA
Argentina;Santa Fe;Sauce Viejo Airport;SFN
Argentina;Santa Rosa;Santa Rosa Airport;RSA
Argentina;Santa Teresita;Santa Teresita Airport;SST
Argentina;Santiago Del Estero;Vicecomodoro Angel D. La Paz Aragonés Airport;SDE
Argentina;Sierra Grande;Sierra Grande Airport;SGV
Argentina;Sunchales;Sunchales Aeroclub Airport;NCJ
Argentina;Tandil;Héroes De Malvinas Airport;TDL
Argentina;Tartagal;General Enrique Mosconi Airport;TTG
Argentina;Trelew;Almirante Marco Andres Zar Airport;REL
Argentina;Tres Arroyos;Tres Arroyos Airport;OYO
Argentina;Tucuman;Teniente Benjamin Matienzo Airport;TUC
Argentina;Ushuaia;Malvinas Argentinas Airport;USH
Argentina;Viedma;Gobernador Castello Airport;VDM
Argentina;Villa Dolores;Villa Dolores Airport;VDR
Argentina;Villa Gesell;Villa Gesell Airport;VLG
Argentina;Villa Reynolds;Villa Reynolds Airport;VME
Argentina;ZAPALA;Zapala Airport;APZ
Armenia;Gyumri;Gyumri Shirak Airport;LWN
Armenia;Yerevan;Zvartnots International Airport;EVN
Aruba;Oranjestad;Queen Beatrix International Airport;AUA
Australia;Adelaide;Adelaide International Airport;ADL
Australia;Airlie Beach;Whitsunday Island Airport;WSY
Australia;Albany;Albany Airport;ALH
Australia;Albury;Albury Airport;ABX
Australia;Alice Springs;Alice Springs Airport;ASP
Australia;Alpha;Alpha Airport;ABH
Australia;Amata;Amata Airport;AMT
Australia;Amberley;Northern Peninsula Airport;ABM
Australia;Argyle;Argyle Airport;GYL
Australia;Argyle;Port Augusta Airport;PUG
Australia;Armidale;Armidale Airport;ARM
Australia;Aurukun;Aurukun Airport;AUU
Australia;Avalon;Avalon Airport;AVV
Australia;Badu Island;Badu Island Airport;BDD
Australia;Bairnsdale;Bairnsdale Airport;BSJ
Australia;Ballera;Ballera Airport;BBL
Australia;Ballina Byron Bay;Ballina Byron Gateway Airport;BNK
Australia;Barcaldine;Barcaldine Airport;BCI
Australia;Barimunya;Barimunya Airport;BYP
Australia;Barrow Island;Barrow Island Airport;BWB
Australia;Bathurst;Bathurst Airport;BHS
Australia;Bathurst Island;Bathurst Island Airport;BRT
Australia;Bedourie;Bedourie Airport;BEU
Australia;Bendigo;Bendigo Airport;BXG
Australia;Biloela;Thangool Airport;THG
Australia;Birdsville;Birdsville Airport;BVI
Australia;Blackall;Blackall Airport;BKQ
Australia;Blackwater;Blackwater Airport;BLT
Australia;Boigu;Boigu Airport;GIC
Australia;Borroloola;Borroloola Airport;BOX
Australia;Boulia;Boulia Airport;BQL
Australia;Bourke;Bourke Airport;BRK
Australia;Bowen;Bowen Airport;ZBO
Australia;Brampton Island;Brampton Island Airport;BMP
Australia;Brisbane;Brisbane Archerfield Airport;ACF
Australia;Brisbane;Brisbane International Airport;BNE
Australia;Brockman;Boolgeeda;OCM
Australia;Broken Hill;Broken Hill Airport;BHQ
Australia;Broome;Broome International Airport;BME
Australia;Brusselton;Busselton Regional Airport;BQB
Australia;Bunbury;Bunbury Airport;BUY
Australia;Bundaberg;Bundaberg Airport;BDB
Australia;Burketown;Burketown Airport;BUC
Australia;Burnie;Wynyard Airport;BWT
Australia;Cairns;Cairns International Airport;CNS
Australia;Caloundra;Caloundra Airport;CUD
Australia;Camden;Camden Airport;CDU
Australia;Canberra;Canberra International Airport;CBR
Australia;Carnarvon;Carnarvon Airport;CVQ
Australia;Ceduna;Ceduna Airport;CED
Australia;Cessnock;Cessnock Airport;CES
Australia;Charlieville;Charleville Airport;CTL
Australia;Chatsworth;Cowra Airport;CWT
Australia;Chinchilla;Chinchilla Airport;CCL
Australia;Clermont;Clermont Airport;CMQ
Australia;Cloncurry;Cloncurry Airport;CNJ
Australia;Cloudbreak;Fortescue - Dave Forrest Aerodrome;KFE
Australia;Cobar;Cobar Airport;CAZ
Australia;Coconut Island;Coconut Island Airport;CNC
Australia;Coen;Coen Airport;CUQ
Australia;Coff's Harbour;Coffs Harbour Airport;CFS
Australia;Coober Pedy;Coober Pedy Airport;CPD
Australia;Cooinda;Cooinda Airport;CDA
Australia;Cooktown;Cooktown Airport;CTN
Australia;Coolangatta;Gold Coast Airport;OOL
Australia;Cooma;Cooma Snowy Mountains Airport;OOM
Australia;Coonabarabran;Coonabarabran Airport;COJ
Australia;Coonamble;Coonamble Airport;CNB
Australia;Coondewanna;Coondewanna Airport;CJF
Australia;Croker Island;Croker Island Airport;CKI
Australia;Cunnamulla;Cunnamulla Airport;CMA
Australia;Darnley Island;Darnley Island Airport;NLF
Australia;Darwin;Darwin International Airport;DRW
Australia;Deniliquin;Deniliquin Airport;DNQ
Australia;Derby;Derby Airport;DRB
Australia;Derby;RAAF Base Curtin;DCN
Australia;Devonport;Devonport Airport;DPO
Australia;Docker River;Docker River Airport;DKV
Australia;Doomadgee;Doomadgee Airport;DMD
Australia;Dubbo;Dubbo City Regional Airport;DBO
Australia;Dulkaninna;Dulkaninna Airport;DLK
Australia;Dunk Island;Dunk Island Airport;DKI
Australia;Elcho Island;Elcho Island Airport;ELC
Australia;Emerald;Emerald Airport;EMD
Australia;Erldunda;Erldunda Airport;EDD
Australia;Esperance;Esperance Airport;EPR
Australia;Finke;Finke Airport;FIK
Australia;Fitzroy Crossing;Fitzroy Crossing Airport;FIZ
Australia;Flinders Island;Flinders Island Airport;FLS
Australia;Forbes;Forbes Airport;FRB
Australia;Forrest;Forrest Airport;FOS
Australia;Fraser Island;Oceanside Municipal Airport;OCN
Australia;Gayndah;Gayndah Airport;GAH
Australia;Geelong;Geelong Airport;GEX
Australia;Geraldton;Geraldton Airport;GET
Australia;Gladstone;Gladstone Airport;GLT
Australia;Glen Innes;Glen Innes Airport;GLI
Australia;Goondiwindi;Goondiwindi Airport;GOO
Australia;Goulburn;Goulburn Airport;GUL
Australia;Gove;Gove Airport;GOV
Australia;Grafton;Grafton Airport;GFN
Australia;Great Keppel Island;Great Keppel Is Airport;GKL
Australia;Griffith;Griffith Airport;GFF
Australia;Groote Eylandt;Groote Eylandt Airport;GTE
Australia;Halls Creek;Halls Creek Airport;HCQ
Australia;Hamilton;Hamilton Airport;HLT
Australia;Hamilton Island;Hamilton Island Airport;HTI
Australia;Hermannsburg;Hermannsburg Airport;HMG
Australia;Hervey Bay;Hervey Bay Airport;HVB
Australia;Hobart;Hobart International Airport;HBA
Australia;Hooker Creek;Hooker Creek Airport;HOK
Australia;Horn Island;Horn Island Airport;HID
Australia;Horsham;Horsham Airport;HSM
Australia;Hughenden;Hughenden Airport;HGD
Australia;Innisfail;Innisfail Airport;IFL
Australia;Inverell;Inverell Airport;IVR
Australia;Jabiru;Jabiru Airport;JAB
Australia;Julia Creek;Julia Creek Airport;JCK
Australia;Kalbarri;Kalbarri Airport;KAX
Australia;Kalgoorlie;Kalgoorlie Boulder Airport;KGI
Australia;Kalkgurung;Kalkgurung Airport;KFG
Australia;Karratha;Karratha Airport;KTA
Australia;Karumba;Karumba Airport;KRB
Australia;Katherine;Tindal Airport;KTR
Australia;King Island;King Island Airport;KNS
Australia;Kingscote;Kingscote Airport;KGC
Australia;Kowanyama;Kowanyama Airport;KWM
Australia;Kubin;Kubin Airport;KUG
Australia;Kununurra;Kununurra Airport;KNX
Australia;Lake Evella;Lake Evella Airport;LEL
Australia;Lake Macquarie;Lake Macquarie Airport;BEO
Australia;Launceston;Launceston Airport;LST
Australia;Laverton;Laverton Airport;LVO
Australia;Learmonth;Learmonth Airport;LEA
Australia;Leigh Creek;Leigh Creek Airport;LGH
Australia;Leinster;Leinster Airport;LER
Australia;Leonora;Leonora Airport;LNO
Australia;Lightning Ridge;Lightning Ridge Airport;LHG
Australia;Lismore;Lismore Airport;LSY
Australia;Lizard Island;Lizard Island Airport;LZR
Australia;Lockhart River;Lockhart River Airport;IRG
Australia;Longreach;Longreach Airport;LRE
Australia;Lord Howe Island;Lord Howe Island Airport;LDH
Australia;Mabuiag Island;Mabuiag Island Airport;UBB
Australia;Mackay;Mackay Airport;MKY
Australia;Maitland;Maitland Airport;MTL
Australia;Mallacoota;Mallacoota Airport;XMC
Australia;Maningrida;Maningrida Airport;MNG
Australia;Maroochydore;Sunshine Coast Airport;MCY
Australia;Maryborough;Maryborough Airport;MBH
Australia;McArthur River Mine;McArthur River Mine Airport;MCV
Australia;Meekatharra;Meekatharra Airport;MKR
Australia;Melbourne;Melbourne Essendon Airport;MEB
Australia;Melbourne;Melbourne International Airport;MEL
Australia;Melbourne;Melbourne Moorabbin Airport;MBW
Australia;Merimbula;Merimbula Airport;MIM
Australia;Mildura;Mildura Airport;MQL
Australia;Milingimbi;Milingimbi Airport;MGT
Australia;Moomba;Moomba Airport;MOO
Australia;Moranbah;Moranbah Airport;MOV
Australia;Moree;Moree Airport;MRZ
Australia;Mornington Island;Mornington Island Airport;ONG
Australia;Moruya;Moruya Airport;MYA
Australia;Morwell;Latrobe Valley Airport;TGN
Australia;Mount Gambier;Mount Gambier Airport;MGB
Australia;Mount Hotham;Mount Hotham Airport;MHU
Australia;Mount Isa;Mount Isa Airport;ISA
Australia;Mount Keith;Mount Keith Airport;WME
Australia;Mount Magnet;Mount Magnet Airport;MMG
Australia;Mudgee;Mudgee Airport;DGE
Australia;Murray Island;Murray Island Airport;MYI
Australia;Naracoorte;Naracoorte Airport;NAC
Australia;Narrabri;Narrabri Airport;NAA
Australia;Narrandera;Narrandera Airport;NRA
Australia;Newcastle;Newcastle Airport;NTL
Australia;Newman;Newman Airport;ZNE
Australia;Noonkanbah;Noonkanbah Airport;NKB
Australia;Normanton;Normanton Airport;NTN
Australia;Nowra;Nowra Airport;NOA
Australia;Oakey;Oakey Airport;OKY
Australia;Olympic Dam;Olympic Dam Airport;OLP
Australia;Onslow;Onslow Airport;ONS
Australia;Orange;Orange Airport;OAG
Australia;Palm Island;Palm Island Airport;PMK
Australia;Paraburdoo;Paraburdoo Airport;PBO
Australia;Parkes;Parkes Airport;PKE
Australia;Penneshaw;Penneshaw Airport;PEA
Australia;Perth;Perth International Airport;PER
Australia;Perth;Perth Jandakot Airport;JAD
Australia;Petermann;Kings Creek Airport;KCS
Australia;Pirlangimpi;Garden Point Airport;GPN
Australia;Pormpuraaw;Pormpuraaw Airport;EDR
Australia;Port Hedland;Port Hedland International Airport;PHE
Australia;Port Lincoln;Port Lincoln Airport;PLO
Australia;Port Macquarie;Port Macquarie Airport;PQQ
Australia;Portland;Portland Airport;PTJ
Australia;Prominent Hill;Prominent Hill Airport;PXH
Australia;Prosserpine;Proserpine Whitsunday Coast Airport;PPP
Australia;Quilpie;Quilpie Airport;ULP
Australia;Ramingining;Ramingining Airport;RAM
Australia;Ravensthorpe;Ravensthorpe Airport;RVT
Australia;Renmark;Renmark Airport;RMK
Australia;Richmond;RAAF Base Richmond;XRH
Australia;Richmond;Richmond Airport;RCM
Australia;Rockhampton;Rockhampton Airport;ROK
Australia;Roma;Roma Airport;RMA
Australia;Roper Bar;Roper Bar Airport;RPB
Australia;Rottnest Island;Rottnest Island Airport;RTS
Australia;Saibai Island;Saibai Island Airport;SBR
Australia;Sale;West Sale Airport;SXE
Australia;Scone;Scone Airport;NSO
Australia;Shark Bay;Shark Bay Airport;MJK
Australia;Shepparton;Shepparton Airport;SHT
Australia;Shute Harbour;Shute Harbour Airport;JHQ
Australia;Solomon;Solomon Airport;SLJ
Australia;St George;St George Airport;SGO
Australia;Strahan;Strahan Airport;SRN
Australia;Sue Islet;Warraber Island Airport;SYU
Australia;Swan Hill;Swan Hill Airport;SWH
Australia;Sydney;Sydney Bankstown Airport;BWU
Australia;Sydney;Sydney Kingsford Smith International Airport;SYD
Australia;Tamworth;Tamworth Airport;TMW
Australia;Taree;Taree Airport;TRO
Australia;Taroom;Taroom Airport;XTO
Australia;Telfer;Telfer Airport;TEF
Australia;Temora;Temora Airport;TEM
Australia;Tennant Creek;Tennant Creek Airport;TCA
Australia;Thargomindah;Thargomindah Airport;XTG
Australia;Theodore;Theodore Airport;TDR
Australia;Toowoomba;Toowoomba Airport;TWB
Australia;Toowoomba;Toowoomba Wellcamp Airport;WTB
Australia;Townsville;Townsville Airport;TSV
Australia;Uluru;Ayers Rock Connellan Airport;AYQ
Australia;Victoria River Downs;Victoria River Downs Airport;VCD
Australia;Wadeye;Port Keats Airport;PKT
Australia;Wagga Wagga;Wagga Wagga City Airport;WGA
Australia;Walgett;Walgett Airport;WGE
Australia;Warrnambool;Warrnambool Airport;WMB
Australia;Weipa;Weipa Airport;WEI
Australia;West Wyalong;West Wyalong Airport;WWY
Australia;Whyalla;Whyalla Airport;WYA
Australia;Wilcannia;Wilcannia Airport;WIO
Australia;Wiluna;Wiluna Airport;WUN
Australia;Windorah;Windorah Airport;WNR
Australia;Winton;Winton Airport;WIN
Australia;Wollongong;Wollongong Airport;WOL
Australia;Woomera;Woomera Airfield;UMR
Australia;Wyndham;Wyndham Airport;WYN
Australia;Yalata;Yalata Mission Airport;KYI
Australia;Yam Island;Yam Island Airport;XMY
Australia;Yorke Island;Yorke Island Airport;OKR
Australia;Yuendumu;Yuendumu Airport;YUE
Australia;Ararat;Ararat Airport;ARY
Australia;Balranald;Balranald Airport;BZD
Australia;Benalla;Benalla Airport;BLN
Australia;Brewarrina;Brewarrina Airport;BWQ
Australia;Cleve;Cleve Airport;CVC
Australia;Cootamundra;Cootamundra Airport;CMD
Australia;Corowa;Corowa Airport;CWW
Australia;Corryong;Corryong Airport;CYG
Australia;Dirranbandi;Dirranbandi Airport;DRN
Australia;Dysart;Dysart Airport;DYA
Australia;Echuca;Echuca Airport;ECH
Australia;Gunnedah;Gunnedah Airport;GUH
Australia;Hay;Hay Airport;HXX
Australia;Hopetoun;Hopetoun Airport;HTU
Australia;Kempsey;Kempsey Airport;KPS
Australia;Kerang;Kerang Airport;KRA
Australia;Kingaroy;Kingaroy Airport;KGY
Australia;Mareeba;Mareeba Airport;MRG
Australia;Narromine;Narromine Airport;QRM
Australia;Ngukurr;Ngukurr Airport;RPM
Australia;Port Pirie;Port Pirie Airport;PPI
Australia;Smithton;Smithton Airport;SIO
Australia;Snake Bay;Snake Bay Airport;SNB
Australia;Stawell;Stawell Airport;SWC
Australia;Tibooburra;Tibooburra Airport;TYB
Australia;Tumut;Tumut Airport;TUM
Australia;Wangaratta;Wangaratta Airport;WGT
Australia;Warracknabeal;Warracknabeal Airport;WKB
Australia;Warren;Warren Airport;QRR
Australia;Young;Young Airport;NGA
Austria;Graz;Graz Airport;GRZ
Austria;Hohenems;Hohenems-Dornbirn Airport;HOH
Austria;Innsbruck;Innsbruck Airport;INN
Austria;Klagenfurt;Klagenfurt Airport;KLU
Austria;Linz;Linz Hörsching Airport;LNZ
Austria;Salzburg;Salzburg Airport;SZG
Austria;Vienna;Vienna International Airport;VIE
Azerbaijan;Baku;Heydar Aliyev International Airport;GYD
Azerbaijan;Baku;Zabrat Airport;ZXT
Azerbaijan;Ganja;Ganja Airport;KVD
Azerbaijan;Lankaran;Lankaran International Airport;LLK
Azerbaijan;Nakhchivan;Nakhchivan Airport;NAJ
Azerbaijan;Qabala;Gabala International Airport;GBB
Azerbaijan;Zaqatala;Zaqatala International Airport;ZTU
Bahamas;Alice Town;South Bimini Airport;BIM
Bahamas;Andros;Congo Town Airport;COX
Bahamas;Andros Town;Andros Town Airport;ASD
Bahamas;Arthur's Town;Arthur's Town Airport;ATC
Bahamas;Bullocks Harbour;Great Harbour Cay Airport;GHC
Bahamas;Cat Island;New Bight Airport;TBI
Bahamas;Chub Cay;Chub Cay Airport;CCZ
Bahamas;Clarence Bain;Clarence A. Bain Airport;MAY
Bahamas;Cockburn Town;San Salvador Airport;ZSA
Bahamas;Colonel Hill;Colonel Hill Airport;CRI
Bahamas;Dead Man's Cay;Deadman's Cay Airport;LGI
Bahamas;Duncan Town;Duncan Town Airport;DCT
Bahamas;Freeport;Grand Bahama International Airport;FPO
Bahamas;Governor's Harbor;Governor's Harbour Airport;GHB
Bahamas;Great Exuma;Exuma International Airport;GGT
Bahamas;Marsh Harbor;Leonard M Thompson International Airport;MHH
Bahamas;Matthew Town;Inagua Airport;IGA
Bahamas;Mayaguana;Mayaguana Airport;MYG
Bahamas;Nassau;Lynden Pindling International Airport;NAS
Bahamas;Nassau;Nassau Paradise Island Airport;PID
Bahamas;Norman's Cay;Normans Cay Airport;NMC
Bahamas;North Eleuthera;North Eleuthera Airport;ELH
Bahamas;Port Nelson;Rum Cay Airport;RCY
Bahamas;Rock Sound;Rock Sound Airport;RSD
Bahamas;San Andros;San Andros Airport;SAQ
Bahamas;Spring Point;Spring Point Airport;AXP
Bahamas;Staniel Cay;Staniel Cay Airport;TYM
Bahamas;Stella Maris;Stella Maris Airport;SML
Bahamas;Treasure Cay;Treasure Cay Airport;TCB
Bahamas;Walker's Cay;Abaco I Walker C Airport;WKR
Bahrain;Bahrain;Bahrain International Airport;BAH
Bangladesh;Barisal;Barisal Airport;BZL
Bangladesh;Chittagong;Shah Amanat International Airport;CGP
Bangladesh;Cox's Bazar;Cox's Bazar Airport;CXB
Bangladesh;Dhaka;Hazrat Shahjalal International Airport;DAC
Bangladesh;Ishurdi;Ishurdi Airport;IRD
Bangladesh;Jessore;Jessore Airport;JSR
Bangladesh;Rajshahi;Shah Mokhdum Airport;RJH
Bangladesh;Saidpur;Saidpur Airport;SPD
Bangladesh;Sylhet Osmani;Osmany International Airport;ZYL
Barbados;Bridgetown;Sir Grantley Adams International Airport;BGI
Belarus;Brest;Brest Airport;BQT
Belarus;Gomel;Gomel Airport;GME
Belarus;Hrodna;Hrodna Airport;GNA
Belarus;Minsk;Minsk 1 Airport;MHP
Belarus;Minsk 2;Minsk National Airport;MSQ
Belarus;Mogilev;Mogilev Airport;MVQ
Belarus;Vitebsk;Vitebsk Vostochny Airport;VTB
Belgium;Antwerp;Antwerp International Airport (Deurne);ANR
Belgium;Brussels;Brussels Airport;BRU
Belgium;Charleroi;Brussels South Charleroi Airport;CRL
Belgium;Kortrijk-vevelgem;Wevelgem Airport;KJK
Belgium;Liege;Liège Airport;LGG
Belgium;Ostend;Ostend-Bruges International Airport;OST
Belgium;Zoersel;Zoersel (Oostmalle) Airfield;OBL
Belize;Belize City;Philip S. W. Goldson International Airport;BZE
Belize;San Pedro;San Pedro Airport;SPR
Benin;Cotonou;Cadjehoun Airport;COO
Benin;Kandi;Kandi Airport;KDC
Benin;Parakou;Parakou Airport;PKO
Bermuda;Bermuda;L.F. Wade International International Airport;BDA
Bhutan;Gelephu;Gelephu Airport;GLU
Bhutan;Jakar;Bathpalathang Airport;BUT
Bhutan;Thimphu;Paro Airport;PBH
Bolivia;Bermejo;Bermejo Airport;BJO
Bolivia;Chapacura;Chimore Airport;CCA
Bolivia;Cobija;Capitán Aníbal Arab Airport;CIJ
Bolivia;Cochabamba;Jorge Wilsterman International Airport;CBB
Bolivia;Guayaramerín;Capitán de Av. Emilio Beltrán Airport;GYA
Bolivia;La Paz;El Alto International Airport;LPB
Bolivia;Oruro;Juan Mendoza Airport;ORU
Bolivia;Potosi;Capitan Nicolas Rojas Airport;POI
